testicular cancer,propolis,cancers,https://scinapse.io/papers/2755780782,1
testicular cancer,vitamin a,cancers,https://scinapse.io/papers/2092406654,2
testicular cancer,vitamin a,cancers,https://scinapse.io/papers/2092406654,2
testicular cancer,pancreatin,cancers,http://www.tbyil.com/Testicular_Cancer_Signs_and_Prevention_Tony_Isaacs.htm,1
testicular cancer,same,cancers,https://scinapse.io/papers/1987254199,1
testicular cancer,coffee,cancers,https://scinapse.io/papers/2607056868,2
testicular cancer,vegetables,cancers,https://scinapse.io/papers/2607056868,2
testicular cancer,sugar,cancers,https://scinapse.io/papers/765316295,2
testicular cancer,vegetables,cancers,https://scinapse.io/papers/765316295,2
testicular cancer,water,cancers,https://scinapse.io/papers/2298698443,1
testicular cancer,vegetables,cancers,https://www.webmd.com/prostate-cancer/guide/alternative-treatments-for-prostate-cancer2#1,1
thrombocytopenia,peony,autoimmune,https://www.organicfacts.net/home-remedies/thrombocytopenia.html,1
thrombocytopenia,potassium,autoimmune,https://forums.webmd.com/3/heart-disease-exchange/forum/2315/0,1
thymoma,calcium,cancers,https://scinapse.io/papers/2135822510,4
thymoma,calcium,cancers,https://scinapse.io/papers/2135822510,4
thymoma,calcium,cancers,https://scinapse.io/papers/2135822510,4
thymoma,inositol,cancers,https://scinapse.io/papers/2135822510,4
thymoma,vegetables,cancers,https://theheartysoul.com/what-you-need-to-know-about-the-thymus-a-gland-no-one-talks-about/,1
thymoma,lemon,cancers,https://www.wikihow.com/Strengthen-Your-Immune-System,3
thymoma,milk,cancers,https://www.wikihow.com/Strengthen-Your-Immune-System,3
thymoma,tea,cancers,https://www.wikihow.com/Strengthen-Your-Immune-System,3
thymoma,marijuana,cancers,https://www.marijuanadoctors.com/conditions/myasthenia-gravis/,1
thyroid cancer,iodine,endocrine disorders,https://scinapse.io/papers/2332683203,1
thyroid cancer,thyroid hormone,endocrine disorders,https://scinapse.io/papers/1991520099,1
thyroid cancer,sugar,endocrine disorders,https://forums.webmd.com/3/menopause-exchange/forum/2315/7,1
thyroid cancer,thyroid hormone,endocrine disorders,https://scinapse.io/papers/1982263054,2
thyroid cancer,water,endocrine disorders,https://scinapse.io/papers/1982263054,2
thyroid cancer,iodine,endocrine disorders,https://scinapse.io/papers/1964802745,2
thyroid cancer,thyroid hormone,endocrine disorders,https://scinapse.io/papers/1964802745,2
thyroid cancer,broccoli,endocrine disorders,https://www.webmd.com/cancer/features/seven-easy-to-find-foods-that-may-help-fight-cancer#1,2
thyroid cancer,broccoli,endocrine disorders,https://www.webmd.com/cancer/features/seven-easy-to-find-foods-that-may-help-fight-cancer#1,2
